Date,Open,High,Low,Close,Volume
2021-01-29,1332.3,1440.0,1288.95,1379.38,172062.4628963115
2021-01-30,1379.38,1402.57,1327.92,1377.99,67237.1994872096
2021-01-31,1378.99,1381.0,1282.67,1313.7,70188.6717784798
2021-02-01,1313.02,1377.75,1271.03,1374.05,79490.44313367
2021-02-02,1374.89,1549.0,1362.34,1513.12,220413.0138719189
2021-02-03,1513.58,1670.98,1509.31,1667.78,142434.4431360335
2021-02-04,1669.1,1698.0,1557.41,1598.23,169746.6348675119
2021-02-05,1598.22,1763.98,1593.07,1722.0,136821.060899271
2021-02-06,1722.0,1744.58,1648.5,1678.92,103793.421317632
2021-02-07,1678.69,1694.0,1487.27,1615.99,139689.2756338738
2021-02-08,1615.46,1777.17,1566.32,1752.18,137478.3014346933
2021-02-09,1752.18,1823.99,1709.16,1771.14,101087.5129027296
2021-02-10,1772.02,1838.71,1681.0,1743.48,120445.8959154214
2021-02-11,1742.55,1818.0,1706.3,1786.31,70469.1511098193
2021-02-12,1786.31,1867.58,1739.87,1845.31,92310.1663867804
2021-02-13,1844.09,1873.28,1761.77,1818.01,62021.8277441789
2021-02-14,1818.01,1851.88,1786.0,1804.34,45768.0800065798
2021-02-15,1804.33,1835.23,1666.26,1778.99,155254.7275408396
2021-02-16,1779.55,1825.16,1725.0,1781.69,81863.3864175702
2021-02-17,1782.0,1856.96,1733.5,1850.95,72397.6723021297
2021-02-18,1851.31,1949.73,1851.31,1939.57,88629.367708822
2021-02-19,1939.37,1975.67,1891.57,1957.68,88873.30183439
2021-02-20,1957.73,2038.84,1810.0,1916.01,144509.0326113734
2021-02-21,1915.01,1975.0,1886.04,1935.44,60937.5806684483
2021-02-22,1935.44,1937.67,700.0,1778.82,232472.0710481253
2021-02-23,1778.93,1782.81,1358.0,1579.16,311472.0824201424
2021-02-24,1579.0,1716.0,1498.44,1625.01,157749.7824822747
2021-02-25,1625.55,1671.9,1458.76,1481.68,103915.8659925605
2021-02-26,1480.82,1563.16,1401.0,1445.33,137274.3923172526
2021-02-27,1445.23,1526.98,1426.52,1460.13,89749.0616812309
2021-02-28,1460.0,1469.27,1295.0,1422.7,173849.7260746411
2021-03-01,1422.47,1573.83,1414.0,1570.99,104778.7696439222
2021-03-02,1571.0,1616.17,1455.8,1489.22,127169.2049627635
2021-03-03,1488.56,1656.3,1478.04,1566.41,99872.1521230217
2021-03-04,1567.9,1624.68,1505.69,1537.52,90708.8290441301
2021-03-05,1539.76,1549.42,1442.86,1528.76,109879.0034567308
2021-03-06,1529.07,1671.1,1513.53,1650.56,72729.4459539793
2021-03-07,1651.08,1734.78,1631.19,1727.49,64850.5602020898
2021-03-08,1726.83,1842.92,1650.0,1833.68,94445.5847689116
2021-03-09,1834.19,1872.34,1796.34,1872.34,72160.2717968604
2021-03-10,1872.33,1879.37,1758.12,1795.79,82155.3235341696
2021-03-11,1795.44,1847.73,1724.65,1826.87,71185.3840717603
2021-03-12,1826.92,1840.64,1722.02,1767.06,60538.0079460306
2021-03-13,1767.77,1942.71,1727.7,1920.17,85219.2758130601
2021-03-14,1920.98,1930.85,1838.25,1847.8,56996.9431172801
2021-03-15,1847.8,1890.99,1735.72,1793.23,72686.9900277898
2021-03-16,1794.11,1818.0,1712.03,1805.14,49192.4149095106
